"file","n_edges","total_length","mean_edge_length","median_edge_length","sd_edge_length","min_edge_length","max_edge_length","n_nodes","n_tips","n_branches","tip_fraction","branch_fraction","tip_density"
"C5_001_calculations.json",80,1.78135358584626,0.0222669198230782,0.0182903983615174,0.0139115052127705,0.00659674177151115,0.0874065454986067,95,69,20,0.726315789473684,0.210526315789474,38.7345895549538
"C5_003_calculations.json",2,0.0532563993856733,0.0266281996928366,0.0266281996928366,0.00482047592387134,0.0232196084785207,0.0300367909071526,3,2,0,0.666666666666667,0,37.5541723261529
"C5_004_calculations.json",2,0.0868037386409139,0.043401869320457,0.043401869320457,0.000714188397098915,0.0428968618618236,0.0439068767790903,4,4,0,1,0,46.0809645140635
"C5_010_calculations.json",3,0.0755010259985126,0.0251670086661709,0.0270852630501471,0.0142300672661222,0.0100751167238895,0.0383406462244759,6,6,0,1,0,79.4691187391043
"C5_011_calculations.json",11,0.20765240164827,0.0188774910589336,0.0142954795652332,0.00915290108825808,0.0116449351221894,0.0413154665089379,12,8,4,0.666666666666667,0.333333333333333,38.5259208971285
"C5_012_calculations.json",64,1.44877326171864,0.0226370822143537,0.0192808998581821,0.0112886183428823,0.0103193081647948,0.0540948861297922,87,69,16,0.793103448275862,0.183908045977011,47.6265001730824
"C5_013_calculations.json",221,4.98129862502582,0.0225398127829222,0.0179613451890442,0.0140395898289379,0.0101240138285168,0.126841553012399,210,141,65,0.671428571428571,0.30952380952381,28.3058717442922
"C5_014_calculations.json",515,11.0805492929486,0.0215156296950457,0.0176404986607522,0.0120065384580089,0.00815449232018766,0.0831134222950303,492,334,150,0.678861788617886,0.304878048780488,30.1429099920661
"C5_015_calculations.json",784,17.8053585170538,0.0227109164758339,0.0182135986667179,0.0134468800978086,0.00703009651427351,0.0966709378007957,704,456,235,0.647727272727273,0.333806818181818,25.6102678057983
"C5_016_calculations.json",1065,23.8491818087316,0.022393597942471,0.0190890368677042,0.0126812154624733,0.00522607395661413,0.110867776489883,1001,664,309,0.663336663336663,0.308691308691309,27.8416259863849
"C5_017_calculations.json",1228,26.7895803458087,0.0218156191741113,0.0178535442537339,0.0122973773783018,0.00533633319799274,0.0839002395061787,1198,805,369,0.67195325542571,0.308013355592654,30.0489962742527
