"geometry","file","degree","betweenness","closeness","component"
c(0.705628, 0.757602),"C5_001_calculations.json",2,1,0.5,11
c(0.712349, 0.77008),"C5_001_calculations.json",1,0,0.333333333333333,11
c(0.690261, 0.747992),"C5_001_calculations.json",1,0,0.333333333333333,11
c(0.309739, 0.761546),"C5_001_calculations.json",1,0,0.142857142857143,3
c(0.323299, 0.740304),"C5_001_calculations.json",4,6,0.25,3
c(0.302711, 0.753012),"C5_001_calculations.json",1,0,0.142857142857143,3
c(0.337475, 0.715612),"C5_001_calculations.json",1,0,0.142857142857143,3
c(0.329568, 0.716114),"C5_001_calculations.json",1,0,0.142857142857143,3
c(0.439073, 0.714524),"C5_001_calculations.json",6,6,0.25,4
c(0.429719, 0.689759),"C5_001_calculations.json",1,0,0.142857142857143,4
c(0.421436, 0.709086),"C5_001_calculations.json",1,0,0.142857142857143,4
c(0.421185, 0.694528),"C5_001_calculations.json",1,0,0.142857142857143,4
c(0.407129, 0.702309),"C5_001_calculations.json",1,0,0.142857142857143,4
c(0.224398, 0.697456),"C5_001_calculations.json",1,0,1,14
c(0.228712, 0.686042),"C5_001_calculations.json",1,0,1,14
c(0.867671, 0.686345),"C5_001_calculations.json",3,0,1,15
c(0.867867, 0.673158),"C5_001_calculations.json",3,0,1,15
c(0.166287, 0.657348),"C5_001_calculations.json",3,3,0.166666666666667,5
c(0.167169, 0.670181),"C5_001_calculations.json",1,0,0.111111111111111,5
c(0.171524, 0.628406),"C5_001_calculations.json",4,5,0.2,5
c(0.161145, 0.632028),"C5_001_calculations.json",1,0,0.125,5
c(0.157028, 0.625803),"C5_001_calculations.json",1,0,0.125,5
c(0.231073, 0.57486),"C5_001_calculations.json",3,3,0.333333333333333,7
c(0.215863, 0.588353),"C5_001_calculations.json",1,0,0.2,7
c(0.24247, 0.576305),"C5_001_calculations.json",1,0,0.2,7
c(0.86747, 0.596888),"C5_001_calculations.json",1,0,1,16
